ArticleNo,Relevant?,Strong dummy,Unsure_int,Sure,Study,PubYear,Title,Pblshd?,Publication series name (text),Estimate,SE,t-stats,z-stats,p-value,EstimPage,Estimate,SE,t-stats,z-stats,p-value,Effect on DV + page (text),Shock/change in IV + page (text),EstimPreference,Multiplicator to obtain estimates in points (number),,,lagged (t-1),lagged (t-x)?,Event window start,Event window end,Length of the CAR period,day average,months (0/1),Event Start,Event End,Event_symmetry,Event_start_end_adj,Event Length,0_0,-1_0,0_1,-1_1,-3_0,0_3,-3_3,-7_0,0_7,-7_7,-14_0,0_14,-14_14,-30_0,0_30,-30_30,Type of event,Whatever comes first,Initial press annoucement,Proxy mailing date,Shareholder meeting date,13D/13G filing,Decision,Focus List,LetterDay,ThresholdReach,Objective,All,General undervaluation,Performance + governance,Governance - general,Governance - seats,Governance - rescind,Governance - renumeration,Governance - voting,Governance - other,Capital Structure,Business Strategy,Sale,Other,Outcome,Outcome - success,Outcome - unuccessful,Outvome - NA,DV (text),DV page,Market model,market-adjusted returns,FF,BHAR,Rovnice,Equal-weighted,Value-weighted,IV (text),IV page,Type of activist (text),hedge fund activism,Calpers,Other pension funds/institutions,Coalition of institutions,By individuals,Coalition/group of individuals,All,Group,Type of activism (text),ActivismAll,Proposals,Negotiation,Proxy,Prop_Neg/Proxy,Prop+Neg+Proxy,Litigation,ActivismOther,IV more vars,datastart_y,dataend_y,datastart_mqh,dataend_mqh,Midyear,Length,Sample size,Daily,Monthly,Data source,Region (text),Number of countries (text),Number of firms/events,Subsample specification (text),US,Germany,Europe,Asia,Model and page (text),SE clustered/robust,SE adjustment (text),Control variables + page (text),RoA,Size,Dynamic,Estimation methodology (text),OLS,IV,Panel FE,Otherest,Impact,Cit,First year in GS,Region (text),Midyear,Concatenate,English-origin,French-origin,German-origin,Scandinavian-origin,antidirector rights,Regulatory disclosure threshold,Rule_of_Law,Cap_GDP,HHI,Sarbanes_Oxley
1,Odhad,0,0,1,Fortin et al,2014,Incentive alignment through performance-focused shareholder proposals on management compensation,1,Journal of Contemporary Accounting & Economics,1.04,,,,"<0,01",13,1.04,,,,5.0000000000000001E-3,"p11: The mean (median) cumulative abnormal stock return is 1.04% (0.94%) for the full
sample",je v procentech,,0.01,1.04,,0,0,-5,1,7,,0,-5,1,0,5,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,p8: proposal filling date; shareholder proposals rule (PSPs) (Rule 14a-8),0,0,0,0,1,0,0,0,0,"p1, 11: pay-performance of managers",0,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,0,1,"To test the stock market reactions as associated with the proposal filing dates, we compute the abnormal stock return around proxy filing dates based on Fama and French’s (1993, 1996) three-factor market model with a CRSP equal-weighted index.",7,0,0,1,0,0,1,0,NA,NA,not mentioned,0,0,0,0,0,0,1,0,p5: shareholder proposal,0,1,0,0,0,0,0,0,0,1996,2006,,,2001,,136,1,0,"p5: S&P 500 firms from the 2005 list; Execucomp, Compustat, CRSP, TRACE, Thomson Reuters, and Mergent Fixed Income Securities Database (FISD)",US,1,136,performance proposals,1,0,0,0,p13: simple,0,0,0,0,1,0,p13: OLS probably,1,0,0,0,3.7999999999999999E-2,14,2014,US,2001,US2001,1,0,0,0,5,0.05,1.5133650000000001,132.14800621489871,7.3524201338998132E-2,0
1,Odhad,0,0,1,Fortin et al,2014,Incentive alignment through performance-focused shareholder proposals on management compensation,1,Journal of Contemporary Accounting & Economics,1.28,,,,"<0,01",13,1.28,,,,5.0000000000000001E-3,"p11: The mean (median) cumulative abnormal stock return is 1.04% (0.94%) for the full
sample",je v procentech,,0.01,1.28,,0,0,-5,1,7,,0,-5,1,0,5,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,p8: proposal filling date; shareholder proposals rule (PSPs) (Rule 14a-8),0,0,0,0,1,0,0,0,0,"p1, 11: pay-performance of managers",0,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,0,1,"To test the stock market reactions as associated with the proposal filing dates, we compute the abnormal stock return around proxy filing dates based on Fama and French’s (1993, 1996) three-factor market model with a CRSP equal-weighted index.",7,0,0,1,0,0,1,0,NA,NA,not mentioned,0,0,0,0,0,0,1,0,p5: shareholder proposal,0,1,0,0,0,0,0,0,0,1996,2006,,,2001,,86,1,0,"p5: S&P 500 firms from the 2005 list; Execucomp, Compustat, CRSP, TRACE, Thomson Reuters, and Mergent Fixed Income Securities Database (FISD)",US,1,136,performance proposals - Subsample with valid bond return,1,0,0,0,p13: simple,0,0,0,0,1,0,p13: OLS probably,1,0,0,0,3.7999999999999999E-2,14,2014,US,2001,US2001,1,0,0,0,5,0.05,1.5133650000000001,132.14800621489871,7.3524201338998132E-2,0
1,Odhad,0,0,1,Fortin et al,2014,Incentive alignment through performance-focused shareholder proposals on management compensation,1,Journal of Contemporary Accounting & Economics,0.57999999999999996,,,,0.22,13,0.57999999999999996,,,,0.22,"p11: The mean (median) cumulative abnormal stock return is 1.04% (0.94%) for the full
sample",je v procentech,,0.01,0.57999999999999996,,0,0,-5,1,7,,0,-5,1,0,5,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,p8: proposal filling date; shareholder proposals rule (PSPs) (Rule 14a-8),0,0,0,0,1,0,0,0,0,p2: (non-performance-focused shareholder proposals [NPSPs]).,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,1,"To test the stock market reactions as associated with the proposal filing dates, we compute the abnormal stock return around proxy filing dates based on Fama and French’s (1993, 1996) three-factor market model with a CRSP equal-weighted index.",7,0,0,1,0,0,1,0,NA,NA,not mentioned,0,0,0,0,0,0,1,0,p5: shareholder proposal,0,1,0,0,0,0,0,0,0,1996,2006,,,2001,,51,1,0,"p5: S&P 500 firms from the 2005 list; Execucomp, Compustat, CRSP, TRACE, Thomson Reuters, and Mergent Fixed Income Securities Database (FISD)",US,1,51,non performance proposals,1,0,0,0,p13: simple,0,0,0,0,1,0,p13: OLS probably,1,0,0,0,3.7999999999999999E-2,14,2014,US,2001,US2001,1,0,0,0,5,0.05,1.5133650000000001,132.14800621489871,7.3524201338998132E-2,0
1,Odhad,0,0,1,Fortin et al,2014,Incentive alignment through performance-focused shareholder proposals on management compensation,1,Journal of Contemporary Accounting & Economics,1.3,,,,0.06,13,1.3,,,,0.06,"p11: The mean (median) cumulative abnormal stock return is 1.04% (0.94%) for the full
sample",je v procentech,,0.01,1.3,,0,0,-5,1,7,,0,-5,1,0,5,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,p8: proposal filling date; shareholder proposals rule (PSPs) (Rule 14a-8),0,0,0,0,1,0,0,0,0,p2: (non-performance-focused shareholder proposals [NPSPs]).,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,1,"To test the stock market reactions as associated with the proposal filing dates, we compute the abnormal stock return around proxy filing dates based on Fama and French’s (1993, 1996) three-factor market model with a CRSP equal-weighted index.",7,0,0,1,0,0,1,0,NA,NA,not mentioned,0,0,0,0,0,0,1,0,p5: shareholder proposal,0,1,0,0,0,0,0,0,0,1996,2006,,,2001,,27,1,0,"p5: S&P 500 firms from the 2005 list; Execucomp, Compustat, CRSP, TRACE, Thomson Reuters, and Mergent Fixed Income Securities Database (FISD)",US,1,27,non performance proposals - Subsample with valid bond return,1,0,0,0,p13: simple,0,0,0,0,1,0,p13: OLS probably,1,0,0,0,3.7999999999999999E-2,14,2014,US,2001,US2001,1,0,0,0,5,0.05,1.5133650000000001,132.14800621489871,7.3524201338998132E-2,0
2,Rovnice,0,1,0,Krishnan et al,2016,"The second wave of hedge fund activism: The importance of reputation, clout, and expertise",1,Journal of Corporate Finance,-0.01,,-1.01,,,8,-0.01,,-1.01,,,not mentioned,,,1,-1,0.99009900990099009,0,0,-1,1,3,,0,-1,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Schedule 13D filing,0,0,0,0,1,0,0,0,0,"p16: Proxy Fights Initiated, Proxy fights Won, Lawsuits Initiated, Lawsuits campaigns Resulting in Board Seats, Number of Portfolio Companies in which Board Seats Held",0,0,0,0,1,0,0,0,0,0,0,0,0,NA,0,0,1,"p9: CAR is either the 3-day value-weighted-market-adjusted abnormal announcement period stock return, CAR (−1, +1), or the 7-day return, CAR (−3, +3), or the 21-day period return, CAR (−10, +10),",9,0,0,0,0,1,0,1,"p4: Most Active Hedge Funds, defined as those with at least 5 interventions during the most recent previous 3-year period",4,"p4: Most Active Hedge Funds, defined as those with at least 5 interventions during the most recent previous 3-year period",1,0,0,0,0,0,0,0,not mentioned,1,0,0,0,0,0,0,0,0,2011,2014,,,2012.5,,481,1,0,"p3: Hedge Fund Solutions (HFS), Morningstar Document Research database to search for all 13D filings",US,1,145,Most active hedge funds,1,0,0,0,p9: simple eq with panel FE,1,p9: heteroskedasticity-consistent Hedge fund-clustered standard errors,p9: β1   Hedge Funds þ β2   Market Capþ β3   ROA þ β4   Book to Market þ β5   Nasdaq‐listing þ β6   Finance Firmþ β7   Percentage of Shares Held on Filing Dateþ β8   Call Option þ β9   Put Option ,1,1,0,p9: These fixed effects are used to capture any year- or industry-related common effects not specifically captured by the other explanatory variables ,0,0,1,0,0.35699999999999998,95,2015,US,2012.5,"US2012,5",1,0,0,0,5,0.05,1.603192,129.22582886731411,5.6438856105060983E-2,1
2,Rovnice,0,1,0,Krishnan et al,2016,"The second wave of hedge fund activism: The importance of reputation, clout, and expertise",1,Journal of Corporate Finance,-0.01,,-0.96,,,8,-0.01,,-0.96,,,not mentioned,,,1,-1,1.0416666666666667,0,0,-1,1,3,,0,-1,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Schedule 13D filing,0,0,0,0,1,0,0,0,0,"p16: Proxy Fights Initiated, Proxy fights Won, Lawsuits Initiated, Lawsuits campaigns Resulting in Board Seats, Number of Portfolio Companies in which Board Seats Held",0,0,0,0,1,0,0,0,0,0,0,0,0,NA,0,0,1,"p9: CAR is either the 3-day value-weighted-market-adjusted abnormal announcement period stock return, CAR (−1, +1), or the 7-day return, CAR (−3, +3), or the 21-day period return, CAR (−10, +10),",9,0,0,0,0,1,0,1,"p4: Most Active Hedge Funds, defined as those with at least 5 interventions during the most recent previous 3-year period",4,"p4: Most Active Hedge Funds, defined as those with at least 5 interventions during the most recent previous 3-year period",1,0,0,0,0,0,0,0,not mentioned,1,0,0,0,0,0,0,0,0,2011,2014,,,2012.5,,481,1,0,"p3: Hedge Fund Solutions (HFS), Morningstar Document Research database to search for all 13D filings",US,1,145,Most active hedge funds,1,0,0,0,p9: simple eq with panel FE,1,p9: heteroskedasticity-consistent Hedge fund-clustered standard errors,p9: β1   Hedge Funds þ β2   Market Capþ β3   ROA þ β4   Book to Market þ β5   Nasdaq‐listing þ β6   Finance Firmþ β7   Percentage of Shares Held on Filing Dateþ β8   Call Option þ β9   Put Option ,1,1,0,p9: These fixed effects are used to capture any year- or industry-related common effects not specifically captured by the other explanatory variables ,0,0,1,0,0.35699999999999998,95,2015,US,2012.5,"US2012,5",1,0,0,0,5,0.05,1.603192,129.22582886731411,5.6438856105060983E-2,1
2,Rovnice,0,1,0,Krishnan et al,2016,"The second wave of hedge fund activism: The importance of reputation, clout, and expertise",1,Journal of Corporate Finance,-0.01,,-0.62,,,8,-0.01,,-0.62,,,not mentioned,,,1,-1,1.6129032258064517,0,0,-3,3,7,,0,-3,3,1,3,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Schedule 13D filing,0,0,0,0,1,0,0,0,0,"p16: Proxy Fights Initiated, Proxy fights Won, Lawsuits Initiated, Lawsuits campaigns Resulting in Board Seats, Number of Portfolio Companies in which Board Seats Held",0,0,0,0,1,0,0,0,0,0,0,0,0,NA,0,0,1,"p9: CAR is either the 3-day value-weighted-market-adjusted abnormal announcement period stock return, CAR (−1, +1), or the 7-day return, CAR (−3, +3), or the 21-day period return, CAR (−10, +10),",9,0,0,0,0,1,0,1,"p4: Most Active Hedge Funds, defined as those with at least 5 interventions during the most recent previous 3-year period",4,"p4: Most Active Hedge Funds, defined as those with at least 5 interventions during the most recent previous 3-year period",1,0,0,0,0,0,0,0,not mentioned,1,0,0,0,0,0,0,0,0,2011,2014,,,2012.5,,481,1,0,"p3: Hedge Fund Solutions (HFS), Morningstar Document Research database to search for all 13D filings",US,1,145,Most active hedge funds,1,0,0,0,p9: simple eq with panel FE,1,p9: heteroskedasticity-consistent Hedge fund-clustered standard errors,p9: β1   Hedge Funds þ β2   Market Capþ β3   ROA þ β4   Book to Market þ β5   Nasdaq‐listing þ β6   Finance Firmþ β7   Percentage of Shares Held on Filing Dateþ β8   Call Option þ β9   Put Option ,1,1,0,p9: These fixed effects are used to capture any year- or industry-related common effects not specifically captured by the other explanatory variables ,0,0,1,0,0.35699999999999998,95,2015,US,2012.5,"US2012,5",1,0,0,0,5,0.05,1.603192,129.22582886731411,5.6438856105060983E-2,1
2,Rovnice,0,1,0,Krishnan et al,2016,"The second wave of hedge fund activism: The importance of reputation, clout, and expertise",1,Journal of Corporate Finance,-0.01,,-0.7,,,8,-0.01,,-0.7,,,not mentioned,,,1,-1,1.4285714285714286,0,0,-3,3,7,,0,-3,3,1,3,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Schedule 13D filing,0,0,0,0,1,0,0,0,0,"p16: Proxy Fights Initiated, Proxy fights Won, Lawsuits Initiated, Lawsuits campaigns Resulting in Board Seats, Number of Portfolio Companies in which Board Seats Held",0,0,0,0,1,0,0,0,0,0,0,0,0,NA,0,0,1,"p9: CAR is either the 3-day value-weighted-market-adjusted abnormal announcement period stock return, CAR (−1, +1), or the 7-day return, CAR (−3, +3), or the 21-day period return, CAR (−10, +10),",9,0,0,0,0,1,0,1,"p4: Most Active Hedge Funds, defined as those with at least 5 interventions during the most recent previous 3-year period",4,"p4: Most Active Hedge Funds, defined as those with at least 5 interventions during the most recent previous 3-year period",1,0,0,0,0,0,0,0,not mentioned,1,0,0,0,0,0,0,0,0,2011,2014,,,2012.5,,481,1,0,"p3: Hedge Fund Solutions (HFS), Morningstar Document Research database to search for all 13D filings",US,1,145,Most active hedge funds,1,0,0,0,p9: simple eq with panel FE,1,p9: heteroskedasticity-consistent Hedge fund-clustered standard errors,p9: β1   Hedge Funds þ β2   Market Capþ β3   ROA þ β4   Book to Market þ β5   Nasdaq‐listing þ β6   Finance Firmþ β7   Percentage of Shares Held on Filing Dateþ β8   Call Option þ β9   Put Option ,1,1,0,p9: These fixed effects are used to capture any year- or industry-related common effects not specifically captured by the other explanatory variables ,0,0,1,0,0.35699999999999998,95,2015,US,2012.5,"US2012,5",1,0,0,0,5,0.05,1.603192,129.22582886731411,5.6438856105060983E-2,1
2,Rovnice,0,1,0,Krishnan et al,2016,"The second wave of hedge fund activism: The importance of reputation, clout, and expertise",1,Journal of Corporate Finance,-0.01,,-0.13,,,8,-0.01,,-0.13,,,not mentioned,,,1,-1,7.6923076923076916,0,0,-10,10,21,,0,-10,10,1,10,21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Schedule 13D filing,0,0,0,0,1,0,0,0,0,"p16: Proxy Fights Initiated, Proxy fights Won, Lawsuits Initiated, Lawsuits campaigns Resulting in Board Seats, Number of Portfolio Companies in which Board Seats Held",0,0,0,0,1,0,0,0,0,0,0,0,0,NA,0,0,1,"p9: CAR is either the 3-day value-weighted-market-adjusted abnormal announcement period stock return, CAR (−1, +1), or the 7-day return, CAR (−3, +3), or the 21-day period return, CAR (−10, +10),",9,0,0,0,0,1,0,1,"p4: Most Active Hedge Funds, defined as those with at least 5 interventions during the most recent previous 3-year period",4,"p4: Most Active Hedge Funds, defined as those with at least 5 interventions during the most recent previous 3-year period",1,0,0,0,0,0,0,0,not mentioned,1,0,0,0,0,0,0,0,0,2011,2014,,,2012.5,,481,1,0,"p3: Hedge Fund Solutions (HFS), Morningstar Document Research database to search for all 13D filings",US,1,145,Most active hedge funds,1,0,0,0,p9: simple eq with panel FE,1,p9: heteroskedasticity-consistent Hedge fund-clustered standard errors,p9: β1   Hedge Funds þ β2   Market Capþ β3   ROA þ β4   Book to Market þ β5   Nasdaq‐listing þ β6   Finance Firmþ β7   Percentage of Shares Held on Filing Dateþ β8   Call Option þ β9   Put Option ,1,1,0,p9: These fixed effects are used to capture any year- or industry-related common effects not specifically captured by the other explanatory variables ,0,0,1,0,0.35699999999999998,95,2015,US,2012.5,"US2012,5",1,0,0,0,5,0.05,1.603192,129.22582886731411,5.6438856105060983E-2,1
2,Rovnice,0,1,0,Krishnan et al,2016,"The second wave of hedge fund activism: The importance of reputation, clout, and expertise",1,Journal of Corporate Finance,-0.01,,-0.32,,,8,-0.01,,-0.32,,,not mentioned,,,1,-1,3.125,0,0,-10,10,21,,0,-10,10,1,10,21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Schedule 13D filing,0,0,0,0,1,0,0,0,0,"p16: Proxy Fights Initiated, Proxy fights Won, Lawsuits Initiated, Lawsuits campaigns Resulting in Board Seats, Number of Portfolio Companies in which Board Seats Held",0,0,0,0,1,0,0,0,0,0,0,0,0,NA,0,0,1,"p9: CAR is either the 3-day value-weighted-market-adjusted abnormal announcement period stock return, CAR (−1, +1), or the 7-day return, CAR (−3, +3), or the 21-day period return, CAR (−10, +10),",9,0,0,0,0,1,0,1,"p4: Most Active Hedge Funds, defined as those with at least 5 interventions during the most recent previous 3-year period",4,"p4: Most Active Hedge Funds, defined as those with at least 5 interventions during the most recent previous 3-year period",1,0,0,0,0,0,0,0,not mentioned,1,0,0,0,0,0,0,0,0,2011,2014,,,2012.5,,481,1,0,"p3: Hedge Fund Solutions (HFS), Morningstar Document Research database to search for all 13D filings",US,1,145,Most active hedge funds,1,0,0,0,p9: simple eq with panel FE,1,p9: heteroskedasticity-consistent Hedge fund-clustered standard errors,p9: β1   Hedge Funds þ β2   Market Capþ β3   ROA þ β4   Book to Market þ β5   Nasdaq‐listing þ β6   Finance Firmþ β7   Percentage of Shares Held on Filing Dateþ β8   Call Option þ β9   Put Option ,1,1,0,p9: These fixed effects are used to capture any year- or industry-related common effects not specifically captured by the other explanatory variables ,0,0,1,0,0.35699999999999998,95,2015,US,2012.5,"US2012,5",1,0,0,0,5,0.05,1.603192,129.22582886731411,5.6438856105060983E-2,1
