d,sed,v,fsed,fv
.60399997,.287,.082369,.28490025,.081168152
-.018999999,.183,.033489,.18628889,.034703549
.14399999,.169,.028561,.17046724,.02905908
.249,.27000001,.072899997,.27685872,.076650754
.42899999,.18799999,.035344001,.19034703,.036231991
.75099999,.175,.030625001,.17293228,.029905574
.121,.222,.049284,.22735912,.051692169
.31999999,.13699999,.018769,.13089737,.017134123
.64700001,.23899999,.057121001,.23969114,.05745184
.875,.30500001,.093024999,.30001086,.090006523
.77399999,.249,.062001001,.24665742,.060839884
.62099999,.26100001,.068121001,.26262367,.068971194
.63300002,.243,.059048999,.24137743,.058263063
.38600001,.18700001,.034968998,.18101802,.032767527
.38600001,.19,.0361,.19204576,.036881577
