es,se,v,fse,fv
.020456145,.11252056,.012660877,.20936574,.043834016
.17888544,.22405356,.050199997,.20872003,.043564051
1.0190047,.29173341,.085108384,.21589528,.046610769
.074213214,.26354969,.06945844,.22617476,.051155023
1.073745,.36173123,.13084948,.26642919,.070984505
.20182534,.2808218,.078860886,.23598978,.055691179
1.3538835,.44375265,.19691642,.30080473,.090483487
.071428575,.15817665,.025019851,.26387575,.069630407
.066519015,.33342549,.11117256,.18138507,.032900542
.1243696,.15960227,.025472885,.18188323,.033081509
.74051857,.25842625,.066784129,.22112396,.048895806
-.099330992,.26277477,.06905058,.2272743,.051653609
.25453582,.26367411,.069524035,.2272743,.051653609
.36221325,.26475751,.070096545,.2272743,.051653609
.1334077,.21730672,.047222208,.20569278,.042309523
.24473876,.21787578,.047469854,.20569278,.042309523
.060086139,.21711461,.047138754,.20569278,.042309523
.16582218,.17798775,.031679641,.27487195,.075554579
.51745868,.1882387,.035433806,.27487195,.075554579
.07509385,.17702574,.031338111,.27487195,.075554579
.26270553,.17980085,.032328349,.27487195,.075554579
.62110627,.19307435,.037277702,.27487195,.075554579
.74387598,.19974013,.039896119,.27487195,.075554579
.17931269,.178192,.031752389,.27487195,.075554579
.42226687,.18448871,.034036085,.27487195,.075554579
.2675584,.17991263,.032368552,.27487195,.075554579
.095758229,.17718148,.031393278,.27487195,.075554579
.43644089,.18796365,.035330333,.27798289,.077274494
.38435534,.18612036,.034640789,.27798289,.077274494
.50828302,.19085342,.036425028,.27798289,.077274494
.170763,.31680357,.10036451,.25473726,.06489107
.52810037,.32169259,.10348612,.25473726,.06489107
.48883641,.23130012,.053499743,.21070115,.044394974
1.2554243,.42285281,.1788045,.43915051,.19285318
.626131,.34583521,.11960199,.43915051,.19285318
-.35990405,.18839368,.035492178,.28126335,.07910908
-.20940654,.18456486,.034064189,.28126335,.07910908
-.17309588,.35025162,.12267619,.27191707,.073938899
.47763222,.35451204,.12567878,.27191707,.073938899
.46650445,.35428745,.12551959,.27191707,.073938899
.43939176,.35376185,.12514745,.27191707,.073938899
.52570802,.36028942,.12980847,.27487195,.075554579
1.1032361,.38014188,.14450786,.27487195,.075554579
1.1127878,.38057664,.14483859,.27487195,.075554579
.94237614,.37331802,.13936634,.27487195,.075554579
.18083888,.35427529,.12551098,.27487195,.075554579
.075000003,.35367766,.12508789,.27487195,.075554579
-.045089092,.19621579,.038500637,.29640958,.087858632
.5262019,.20925181,.043786317,.29640958,.087858632
-.4927364,.19333862,.03737982,.28126335,.07910908
.24711454,.18534048,.034351092,.28126335,.07910908
-.05383708,.22376877,.050072461,.3279407,.10754511
.48239881,.23625773,.055817716,.3279407,.10754511
-.11674147,.27539581,.07584285,.23329972,.05442876
-.87235188,.43328473,.18773566,.30881819,.095368683
