d,sed,v,fsed,fv
.12,.26789215,.071766198,.27084479,.073356904
.1495,.16682532,.02783069,.16432127,.027001483
.3224,.1364865,.018628564,.12944032,.016754799
0,.36667576,.13445111,.3646566,.13297443
.53049999,.2957204,.087450556,.29824349,.088949174
-.035399999,.22982109,.052817732,.2320917,.053866554
.26570001,.23291667,.054250177,.23529941,.055365812
.23999999,.30955887,.095826685,.31158349,.097084276
.35420001,.23291667,.054250177,.23529941,.055365812
.066200003,.18354988,.033690561,.18282631,.033425458
.61360002,.3133328,.09817744,.31518888,.09934403
.2753,.26789215,.071766198,.27084479,.073356904
.37580001,.21232149,.045080416,.21375963,.045693181
.75910002,.35494965,.12598926,.35402143,.12533116
.1319,.20441228,.041784383,.20535907,.042172346
.47960001,.33451727,.1119018,.335168,.1123376
.52899998,.26789215,.071766198,.27084479,.073356904
1.1316,.31724814,.10064638,.31891456,.1017065
.81400001,.22982109,.052817732,.2320917,.053866554
.042300001,.16078617,.025852194,.15752748,.024814906
.3964,.20441228,.041784383,.20535907,.042172346
1.1869,.26789215,.071766198,.27084479,.073356904
.97659999,.23950256,.057361484,.24208976,.058607452
.5187,.18921202,.035801191,.18899834,.035720371
.052299999,.25301307,.064015619,.25587723,.065473162
.44549999,.24123821,.05819587,.24387161,.059473366
.48159999,.29900554,.089404307,.30142733,.09085843
.49860001,.20882109,.043606248,.2100509,.044121381
.2032,.091890037,.0084437793,.071982384,.0051814639
.124,.21856819,.047772054,.22034293,.048551008
.47889999,.19450633,.037832711,.19473034,.037919905
.028999999,.15924978,.025360495,.15578865,.024270102
.39629999,.41032326,.16836518,.40305784,.16245563
.082999997,.16682532,.02783069,.16432127,.027001483
.1382,.20882109,.043606248,.2100509,.044121381
1.0464,.37741005,.14243834,.37427402,.14008103
.23980001,.19637236,.038562104,.19674195,.038707398
.2432,.16859406,.028423956,.16629912,.027655398
.62589997,.15324651,.023484491,.14895089,.022186369
.42070001,.12033725,.014481053,.10987151,.012071748
.9393,.15095951,.022788774,.14632685,.021411549
.47240001,.18202327,.033132471,.18115458,.032816984
.61870003,.33451727,.1119018,.335168,.1123376
.3425,.12903936,.016651157,.12740299,.016231522
.49399999,.2212259,.048940897,.2231304,.049787179
