d,sed,v,fsed,fv
2.3100626,.067510739,.0045576999,.1373592,.01886755
.38592932,.046413641,.0021542259,.14446403,.020869855
1.7587351,.64838445,.42040238,.47056347,.22142997
-.2095044,.21659698,.046914246,.37671366,.14191318
0,.26723003,.071411885,.47056347,.22142997
2.8338239,.69901747,.48862544,.37671366,.14191318
.91520381,.31786308,.10103694,.28828952,.083110847
1.9296466,.60478371,.36576337,.32166055,.1034655
.42452225,.36005729,.12964125,.54599166,.29810688
1.9847794,.48242053,.23272955,.33874631,.11474906
1.7036023,.5541507,.30708298,.45209587,.20439066
.31977001,.12798911,.016381215,.20989732,.044056885
.159885,.21659698,.046914246,.36788124,.13533661
.70018607,.1983128,.039327972,.29537329,.087245382
.50170809,.23488113,.055169147,.35974669,.12941769
1.2074075,.063291319,.0040057912,.1448262,.02097463
.85455781,.09985964,.0099719483,.17006467,.028921993
1.1247083,.25175881,.063382499,.29174554,.08511547
.88212419,.13080207,.01710918,.17006467,.028921993
1.0750889,.5358665,.28715292,.49181008,.24187715
1.5106376,.13924091,.019388031,.15845333,.025107458
.92071712,.28692067,.082323462,.34524497,.1191941
1.59885,.10407906,.010832451,.15678836,.024582593
1.0254693,.17440274,.030416319,.22478481,.05052821
.27566379,.32208249,.10373714,.43585867,.18997279
1.0309826,.29957891,.089747526,.34524497,.1191941
.12680535,.26582354,.070662163,.35222504,.12406247
.28669035,.2531653,.064092666,.31190771,.097286411
.34733638,.18002865,.032410316,.25458458,.064813308
.41900897,.21940991,.048140708,.27318445,.074629739
