d,sed,v,fsed,fv
.88,.38999999,.15130334,.42504299,.18066153
1.62,.47,.22445746,.42504299,.18066153
1.79,.47,.21984346,.40526256,.16423775
1.9,.81,.64988905,.60110152,.36132306
.75999999,.44999999,.20205106,.49079734,.24088204
.58999997,.23999999,.057932761,.29330751,.086029299
.56,.31999999,.10401392,.38402969,.14747879
.52999997,.27000001,.071394563,.32599306,.10627148
.94999999,.5,.25335503,.51734585,.2676467
.58999997,.34,.11900938,.40526256,.16423775
.55000001,.23,.053652529,.28494945,.081196189
.63999999,.34999999,.12146118,.40526256,.16423775
.61000001,.36000001,.12659322,.41479945,.1720586
.47,.25999999,.065709427,.31680831,.10036752
.91000003,.56999999,.32374558,.57312781,.32847551
.44999999,.23999999,.059851043,.30437958,.092646934
.58999997,.28999999,.083814085,.34704614,.12044102
.73000002,.38999999,.15465507,.44193864,.19530976
.94,.54000002,.29334602,.54872811,.30110255
1.12,.50999999,.26496798,.5080235,.2580879
.95999998,.47,.22316228,.49079734,.24088204
.37,.17,.030064188,.22247766,.049496308
.66000003,.41,.17184299,.4679569,.21898367
.67000002,.31999999,.099436,.36925372,.13634832
.92000002,.34,.1162145,.3764244,.14169532
.51999998,.22,.04841591,.27294615,.074499592
.68000001,.38,.14214888,.43045774,.18529387
.58999997,.28999999,.083814085,.34704614,.12044102
1.1799999,.38999999,.14939424,.39635462,.15709698
.76999998,.40000001,.15751217,.44193864,.19530976
1.16,.23999999,.056582898,.25867292,.066911675
.56999999,.22,.047667865,.26882076,.072264604
.38,.31999999,.10486068,.39635462,.15709698
.91000003,.50999999,.26045233,.52720094,.27794081
.81,.31999999,.10344114,.36581874,.13382335
.79000002,.34999999,.12318166,.39635462,.15709698
.66000003,.41999999,.17836526,.47521248,.2258269
.89999998,.47999999,.2256867,.49918765,.2491883
1.41,.81999999,.67494726,.67205197,.45165381
.64999998,.22,.049073584,.26882076,.072264604
.46000001,.22,.047491804,.27294615,.074499592
.62,.30000001,.09159065,.35922688,.12904395
.62,.31999999,.099561177,.37278736,.1389704
.76999998,.44999999,.20301527,.49079734,.24088204
.62,.33000001,.10649493,.38402969,.14747879
.64999998,.30000001,.092695683,.35922688,.12904395
.83999997,.41,.16824254,.44803464,.20073503
.86000001,.34999999,.12112983,.38800937,.15055127
.34,.25999999,.066160217,.3236222,.10473132
.31,.31,.097851902,.38800937,.15055127
.37,.40000001,.15898472,.47521248,.2258269
.99000001,.50999999,.25872704,.51734585,.2676467
.92000002,.58999997,.34617278,.58661503,.34411719
.73000002,.28999999,.085491464,.34140271,.11655582
.46000001,.25,.064518265,.31463093,.098992616
.88999999,.38999999,.1520386,.42504299,.18066153
.40000001,.20999999,.046144526,.27155,.073739395
.38,.16,.025125246,.20497392,.042014308
.99000001,.63999999,.41231161,.61671716,.38034004
