"d","sed","v","fsed","fv"
0.88,0.39,0.15130334,0.425042968399123,0.180661524985538
1.62,0.47,0.22445746,0.425042968399123,0.180661524985538
1.79,0.47,0.21984346,0.40526256919046,0.164237749986852
1.9,0.81,0.64988905,0.601101530501358,0.361323049971075
0.76,0.45,0.20205106,0.490797344444782,0.24088203331405
0.59,0.24,0.057932761,0.293307513732875,0.0860292976121608
0.56,0.32,0.10401392,0.384029681022914,0.147478795906561
0.53,0.27,0.071394563,0.325993075517886,0.10627148528561
0.95,0.5,0.25335503,0.517345826002567,0.267646703682278
0.59,0.34,0.11900938,0.40526256919046,0.164237749986852
0.55,0.23,0.053652529,0.284949453420666,0.081196191004736
0.64,0.35,0.12146118,0.40526256919046,0.164237749986852
0.61,0.36,0.12659322,0.414799463866965,0.172058595224322
0.47,0.26,0.065709427,0.316808323566244,0.100367513880854
0.91,0.57,0.32374558,0.573127821671313,0.328475499973705
0.45,0.24,0.059851043,0.304379591776484,0.0926469358900193
0.59,0.29,0.083814085,0.347046130445255,0.120441016657025
0.73,0.39,0.15465507,0.441938634587566,0.195309756741122
0.94,0.54,0.29334602,0.548728112677456,0.301102541642563
1.12,0.51,0.26496798,0.508023516027046,0.258087892836482
0.96,0.47,0.22316228,0.490797344444782,0.24088203331405
0.37,0.17,0.030064188,0.222477657788857,0.0494963082152158
0.66,0.41,0.17184299,0.467956906829183,0.218983666649137
0.67,0.32,0.099436,0.369253734908399,0.136348320743802
0.92,0.34,0.1162145,0.376424379808411,0.141695313714147
0.52,0.22,0.04841591,0.272946144746872,0.0744995979321805
0.68,0.38,0.14214888,0.43045774679989,0.185293871780039
0.59,0.29,0.083814085,0.347046130445255,0.120441016657025
1.18,0.39,0.14939424,0.396354611740918,0.157096978248294
0.77,0.4,0.15751217,0.441938634587566,0.195309756741122
1.16,0.24,0.056582898,0.258672913001283,0.0669116759205695
0.57,0.22,0.047667865,0.26882077671604,0.0722646099942151
0.38,0.32,0.10486068,0.396354611740918,0.157096978248294
0.91,0.51,0.26045233,0.527200917743945,0.277940807670058
0.81,0.32,0.10344114,0.365818741784971,0.133823351841139
0.79,0.35,0.12318166,0.396354611740918,0.157096978248294
0.66,0.42,0.17836526,0.475212485349367,0.225826906231922
0.9,0.48,0.2256867,0.499187650413028,0.24918831032488
1.41,0.82,0.67494726,0.6720519417901,0.451653812463844
0.65,0.22,0.049073584,0.26882077671604,0.0722646099942151
0.46,0.22,0.047491804,0.272946144746872,0.0744995979321805
0.62,0.3,0.09159065,0.359226873184957,0.129043946418241
0.62,0.32,0.099561177,0.372787343984515,0.138970403835029
0.77,0.45,0.20301527,0.490797344444782,0.24088203331405
0.62,0.33,0.10649493,0.384029681022914,0.147478795906561
0.65,0.3,0.092695683,0.359226873184957,0.129043946418241
0.84,0.41,0.16824254,0.448034627860067,0.200735027761708
0.86,0.35,0.12112983,0.388009369501925,0.150551270821281
0.34,0.26,0.066160217,0.323622185321396,0.104731318832196
