d,sed,v,fsed,fv
.25,.12576278,.015816275,.1005711,.010114545
.30000001,.14348282,.02058732,.12715808,.016169177
.31999999,.14869198,.022109305,.13424943,.01802291
.52999997,.29315585,.085940346,.2968064,.088094033
.07,.27554208,.075923443,.2968064,.088094033
.94,.50212014,.25212461,.44787487,.20059191
-.74000001,.416381,.17337313,.44787487,.20059191
-.44,.31616512,.099960372,.34662002,.12014543
-.19,.31606504,.099897116,.34662002,.12014543
.62,.12093425,.014625092,.082112573,.0067424746
.63,.30324018,.091954611,.30126664,.090761587
.75999999,.34431154,.11855044,.33217838,.11034248
.56999999,.33088765,.10948663,.33217838,.11034248
.69,.38978365,.1519313,.378512,.14327133
.61000001,.35579941,.12659322,.35333675,.12484685
-.51999998,.26780817,.071721211,.28973183,.083944529
.28,.27045575,.073146313,.28436923,.080865853
.28,.1534577,.023549266,.14192578,.020142928
.37,.17401414,.030280918,.16732503,.027997669
.34,.17526793,.03071885,.16979989,.028832003
.51999998,.20575002,.04233307,.20140326,.04056327
