"d","sed","v","fsed","fv"
1.064954987,0.008,6.4e-05,0.01464735125814,0.000214544898879335
0.723076997,0.036837306,0.001356987,0.0346054668946603,0.00119753833899743
0.747264718,0.037273749,0.001389332,0.0367245772717825,0.00134869457579112
0.92559525,0.041002729,0.001681224,0.0435473563011397,0.00189637224081841
0.979957887,0.056488328,0.003190931,0.0550080026856835,0.00302588035946817
0.675520529,0.060127347,0.003615298,0.0590812109258075,0.00349058948445975
0.747264718,0.074743563,0.0055866,0.0721476585400791,0.00520528463281584
0.699166665,0.073022146,0.005332234,0.0723057371012932,0.00522811961776133
0.92559525,0.096159781,0.009246704,0.0891759674927393,0.0079523531782661
0.699166665,0.090937189,0.008269572,0.0911405932263336,0.008306607733648
0.583333333,0.092728404,0.008598557,0.097541413434359,0.00951432733477255
0.84707582,0.17886831,0.031993872,0.17160543984172,0.0294484269832703
0.606043732,0.034948996,0.001221432,0.0357877913657137,0.00128076601083585
0.699166665,0.048592979,0.002361278,0.0467306190546916,0.00218375075723471
0.771743633,0.050344651,0.002534584,0.0467306190546916,0.00218375075723471
0.747264718,0.062219556,0.003871273,0.0667790690206909,0.00445944405927019
0.560829009,0.068772359,0.004729637,0.0667790690206909,0.00445944405927019
0.79652821,0.076641706,0.005873951,0.072665409066584,0.00528026167481399
0.47267204,0.066587146,0.004433848,0.072665409066584,0.00528026167481399
0.262225245,0.073477476,0.005398939,0.0732774884612663,0.00536959031519102
1.154700538,0.101860021,0.010375464,0.09196463414358,0.00845749393316252
0.516397779,0.090342996,0.008161857,0.0943094362927827,0.00889426977386244
0.451050802,0.088312728,0.007799138,0.0945814736980026,0.00894565516688596
0.538520464,0.091096771,0.008298622,0.0958836407730255,0.00919367256789061
0.34502212,0.0964301,0.009298764,0.0976416902050595,0.00953389966610081
0.34502212,0.0964301,0.009298764,0.0978431961805014,0.00957329103881609
0.538520464,0.096442571,0.009301169,0.100916191097335,0.0101840776255937
0.79652821,0.102490507,0.010504304,0.103335781659053,0.0106782837710874
0.429579017,0.171331224,0.029354388,0.17160543984172,0.0294484269832703
0.606043732,0.176106176,0.031013385,0.175649441851515,0.0308527264227487
0.387050477,0.180422631,0.032552326,0.179354906340197,0.0321681824283008
0.606043732,0.213041603,0.045386725,0.216423591446653,0.0468391709346677
