d,sed,v,fsed,fv
.16724604,.17612803,.031021081,.20954913,.043910835
.87245351,.10828318,.011725247,.11839967,.014018483
.3581,.15098819,.022797436,.17728767,.031430915
.4804,.20653519,.042656787,.23514916,.055295128
.49880001,.23116566,.053437565,.26050374,.067862205
.92079997,.26876435,.07223428,.27669927,.076562487
.77060002,.24332546,.059207276,.26050374,.067862205
.42410001,.12650697,.016004013,.1481736,.021955417
.5205,.21210068,.044986703,.2396286,.057421863
.4452,.20958944,.043927733,.2396286,.057421863
.134,.22067767,.048698638,.26050374,.067862205
.63810003,.23696136,.05615069,.26050374,.067862205
.98809999,.14812598,.021941304,.15644453,.024474891
-.59990001,.22650139,.05130288,.26663408,.071093738
.44420001,.23497055,.05521116,.26663408,.071093738
.91469997,.12661479,.016031306,.13660932,.018662106
.57309997,.17034182,.029016335,.19319475,.037324212
.30090001,.15425946,.023795979,.18214576,.033177078
.39088824,.22733893,.051682986,.26050374,.067862205
.70499998,.3367601,.11340737,.35272375,.12441403
.66276479,.22585937,.051012453,.24812438,.061565705
.62226516,.11277202,.012717528,.1287965,.016588539
.9206,.54305428,.29490799,.49882668,.24882807
.43419999,.21142,.044698421,.24196649,.058547784
.5643,.28322649,.080217242,.31035551,.09632054
.46000001,.2192385,.048065521,.24941334,.062207017
.95200002,.13833568,.01913676,.14763184,.021795159
1.1413,.20915842,.043747246,.20954913,.043910835
.3779,.20148531,.040596332,.23300163,.054289758
.79439998,.15013573,.022540737,.16475703,.027144879
.6074,.145078,.021047628,.16475703,.027144879
1.0452,.15840176,.025091117,.16475703,.027144879
.2748,.13870336,.019238621,.16475703,.027144879
.90630001,.38143483,.14549252,.37707755,.14218748
.4215,.17588766,.03093647,.20364514,.041471343
.27357125,.25513789,.065095343,.29419193,.086548895
.76923013,.24951759,.06225903,.26663408,.071093738
.37310001,.14292829,.020428495,.16783687,.028169217
.62747598,.53480703,.28601852,.52100748,.27144882
.44510001,.22643559,.051273078,.25759301,.066354156
.32069999,.22248392,.049499098,.25759301,.066354156
.26269999,.22091495,.048803411,.25759301,.066354156
.34940001,.22332513,.049874112,.25759301,.066354156
.32679999,.22265914,.049577095,.25759301,.066354156
.19750001,.21936268,.048119981,.25759301,.066354156
.30379999,.2220086,.049287818,.25759301,.066354156
.26570001,.22099178,.048837364,.25759301,.066354156
.73110002,.12497027,.015617569,.13969941,.019515928
.85609215,.29832664,.088998787,.30788252,.094791651
1.1109,.28542775,.081468992,.28031641,.078577287
1.1540999,.2803897,.078618392,.27321863,.074648425
.33219999,.1450953,.021052646,.17109615,.029273892
.83840001,.21455574,.046034165,.22887738,.052384857
.4048,.22506891,.050656013,.25759301,.066354156
.4445,.238059,.056672085,.26986614,.072827727
.5952,.17211106,.02962222,.19441365,.037796669
.80879998,.13087611,.017128553,.14399886,.020735672
1.5378,.41638094,.17337309,.35272375,.12441403
.5402,.12486082,.015590223,.14399886,.020735672
1.1550448,.13648666,.018628612,.13947171,.019452356
.5167836,.08063864,.0065025901,.094199322,.008873512
.1366,.11702815,.013695588,.1410895,.019906245
.64576679,.20940395,.043850016,.2319497,.053800665
.55489093,.11320245,.012814796,.13062349,.017062496
1.2168,.29316869,.085947886,.28031641,.078577287
.62277645,.20461407,.041866917,.22788009,.051929332
.2229,.21994062,.048373874,.25759301,.066354156
.63849998,.22116427,.048913632,.24437417,.059718736
.4567,.27306211,.074562915,.30546772,.093310528
.33419999,.23740613,.056361672,.27321863,.074648425
.2492,.26498288,.070215926,.30546772,.093310528
-.5575,.21789414,.047477856,.25759301,.066354156
.4136,.48168138,.23201697,.49882668,.24882807
.67720002,.51051021,.26062068,.49882668,.24882807
-.49880001,.44024959,.1938197,.49882668,.24882807
.25319999,.46769762,.21874107,.49882668,.24882807
-.0407,.58426452,.34136504,.61093545,.37324211
1.1591001,.77694488,.6036433,.61093545,.37324211
-.182,.57464582,.33021784,.61093545,.37324211
-.133,.57765108,.33368075,.61093545,.37324211
