d,v,sed,n,n_positive,n_negative,study,d_original
0.167246044,0.031021081,0.176128026,136,73,63,"Bohm & Lind, 1992",0.1677
0.872453534,0.011725247,0.108283179,426,298,128,"Elliott & Archibald, 1989 , Study 1",0.9515
0.3581,0.022797436,0.150988198,190,95,95,"Fagley & Miller, 1990 , Study 1",0.3581
0.4804,0.042656787,0.206535196,108,54,54,"Fagley & Miller, 1990 , Study 2",0.4804
0.4988,0.053437565,0.231165663,88,44,44,"Fagley & Miller, 1987 , Study 1pre",0.4988
0.9208,0.07223428,0.268764358,78,39,39,"Fagley & Miller, 1987 , Study 2",0.9208
0.7706,0.059207276,0.243325455,88,44,44,"Frisch, 1993 , Study 1",0.7706
0.4241,0.016004013,0.126506969,272,136,136,"Frisch, 1993 , Study 2",0.4241
0.5205,0.044986703,0.212100689,104,52,52,"Highouse & Paese, 1996 , Study 1pre",0.5205
0.4452,0.043927733,0.209589436,104,52,52,"Highouse & Paese, 1996 , Study 1prosp",0.4452
0.134,0.048698638,0.220677676,88,44,44,"Highouse & Paese, 1996 , Study 1taskr",0.134
0.6381,0.05615069,0.236961367,88,44,44,"Highouse & Paese, 1996 , Study 2prosp",0.6381
0.9881,0.021941304,0.148125972,244,122,122,"Highouse & Yce, 1996 , Study 1posneg",0.9881
-0.5999,0.05130288,0.226501393,84,42,42,"Highouse & Yce, 1996 , Study 2tr-op",-0.5999
0.4442,0.05521116,0.234970553,84,42,42,"Highouse & Yce, 1996 , Study 2g-l",0.4442
0.9147,0.016031306,0.126614793,320,160,160,"Jou et al., 1996 , Study 1",0.9147
0.5731,0.029016335,0.17034182,160,80,80,"Jou et al., 1996 , Study 2",0.5731
0.3009,0.023795979,0.154259453,180,90,90,"Kopp, 1995",0.3009
0.390888247,0.051682986,0.227338924,88,47,41,"Leclerc, Schmitt & Dube, 1995 , Study 7",0.3918
0.705,0.11340737,0.336760118,48,24,24,"Levin & Chapman, 1990 , Study 1",0.705
0.662764777,0.051012453,0.225859368,97,49,48,"Levin & Chapman, 1993 , Study 1",0.6628
0.622265143,0.012717528,0.112772018,360,162,198,"Li & Adams, 1995",0.6254
0.9206,0.29490799,0.543054303,24,12,12,"Maule, 1989 , Study 1",0.9206
0.4342,0.044698421,0.211420007,102,51,51,"Maule, 1995",0.4342
0.5643,0.080217242,0.283226481,62,31,31,"Maule, 1995 , Study Exp.2; 1",0.5643
0.46,0.048065521,0.219238506,96,48,48,"Miller & Fagley, 1991",0.46
0.952,0.01913676,0.138335681,274,137,137,"Nightingale, 1987",0.952
1.1413,0.043747246,0.209158423,136,68,68,"Olszanski & Lewicka, 1988",1.1413
0.3779,0.040596332,0.201485311,110,55,55,"Paese, 1995",0.3779
0.7944,0.022540737,0.15013573,220,110,110,"Paese, B & T, 1993 , Study C1, Ind",0.7944
0.6074,0.021047628,0.145078003,220,110,110,"Paese, B & T, 1993 , Study C1, gr",0.6074
1.0452,0.025091117,0.158401757,220,110,110,"Paese, B & T, 1993 , Study C2, ind",1.0452
0.2748,0.019238621,0.138703356,220,110,110,"Paese, B & T, 1993 , Study C2, gr",0.2748
0.9063,0.14549252,0.38143483,42,21,21,"Reyna & Brainerd, 1991 , Study 1",0.9063
0.4215,0.03093647,0.175887664,144,72,72,"Reyna & Brainerd, 1991 , Study 2;1",0.4215
0.273571265,0.065095343,0.255137892,69,35,34,"Ritov, B. & Hershey, 1993 , Study 1",0.2736
0.769230137,0.06225903,0.249517597,84,45,39,"Ritov, B & hershey, 1993 , Study 1;1",0.7712
