d,sed,v,fsed,fv
.42309383,.34554338,.11940024,.34588003,.119633
.34164003,.34295848,.11762051,.34588003,.119633
.34164003,.32489517,.10555687,.3280451,.10761358
.26073295,.22692166,.05149344,.23135731,.0535262
.69317728,.19403921,.037651215,.18840668,.035497077
.10004167,.15880862,.025220178,.16273448,.026482511
.77842319,.29479581,.086904578,.28207847,.079568274
.10004167,.29209471,.085319325,.29930663,.089584455
-.28091556,.2945936,.086785398,.29930663,.089584455
-.26073295,.26483506,.070137613,.2697733,.072777644
-.40267199,.26560277,.070544824,.26749828,.071555331
0,.26037782,.06779661,.26749828,.071555331
.69317728,.27557319,.075940587,.26749828,.071555331
.32136708,.32860458,.10798097,.33224583,.11038729
.86491472,.4046317,.16372681,.37904069,.14367184
-.1802431,.41871893,.17532554,.42394584,.17973009
0,.45883146,.21052632,.46453023,.21578833
.16017072,.13287731,.01765638,.13540302,.018333977
.22044393,.15711957,.024686558,.16019677,.025663005
.54658496,.22228581,.049410976,.22047487,.048609167
.6720444,.25400114,.064516574,.24749337,.06125297
.44355795,.23345913,.054503165,.23433535,.054913055
.50522465,.25391635,.064473517,.25302327,.064020768
.62997818,.28274217,.079943135,.27695939,.076706506
.34164003,.26414934,.069774881,.26749828,.071555331
.14011437,.26101601,.068129361,.26749828,.071555331
-.30112627,.25896001,.067060277,.26311401,.069228984
.22044393,.26420328,.069803372,.2697733,.072777644
-.6720444,.30141312,.090849869,.29322112,.085978627
