"d","sed","v","fsed","fv"
0.42309383,0.34554338,0.11940024,0.345880035323646,0.119632998835487
0.34164003,0.34295848,0.11762051,0.345880035323646,0.119632998835487
0.34164003,0.32489517,0.10555687,0.328045090020824,0.107613581086771
0.26073295,0.22692166,0.05149344,0.231357302062303,0.0535262012175479
0.69317728,0.19403921,0.037651215,0.188406673434021,0.0354970745944736
0.10004167,0.15880862,0.025220178,0.162734480928095,0.0264825112829365
0.77842319,0.29479581,0.086904578,0.282078487315912,0.079568273006433
0.10004167,0.29209471,0.085319325,0.299306622819637,0.0895844544636965
-0.28091556,0.2945936,0.086785398,0.299306622819637,0.0895844544636965
-0.26073295,0.26483506,0.070137613,0.269773315044285,0.0727776415099832
-0.40267199,0.26560277,0.070544824,0.267498276332058,0.0715553278406222
0,0.26037782,0.06779661,0.267498276332058,0.0715553278406222
0.69317728,0.27557319,0.075940587,0.267498276332058,0.0715553278406222
0.32136708,0.32860458,0.10798097,0.332245831990314,0.110387292874936
0.86491472,0.4046317,0.16372681,0.379040676356667,0.143671834332919
-0.1802431,0.41871893,0.17532554,0.423945854536954,0.179730087579068
0,0.45883146,0.21052632,0.46453023671793,0.215788340825216
0.16017072,0.13287731,0.01765638,0.135403012846065,0.0183339758877916
0.22044393,0.15711957,0.024686558,0.160196771276272,0.0256630055273422
0.54658496,0.22228581,0.049410976,0.220474866331703,0.0486091666839822
0.6720444,0.25400114,0.064516574,0.247493373184605,0.061252969770294
0.44355795,0.23345913,0.054503165,0.234335351817925,0.0549130571116306
0.50522465,0.25391635,0.064473517,0.253023254782698,0.06402076746083
0.62997818,0.28274217,0.079943135,0.276959395716748,0.0767065068757863
0.34164003,0.26414934,0.069774881,0.267498276332058,0.0715553278406222
0.14011437,0.26101601,0.068129361,0.267498276332058,0.0715553278406222
-0.30112627,0.25896001,0.067060277,0.263114022662259,0.0692289889215158
0.22044393,0.26420328,0.069803372,0.269773315044285,0.0727776415099832
-0.6720444,0.30141312,0.090849869,0.293221126692948,0.0859786291390816
