d,sed,v,fsed,fv
.34,.2442628,.059999999,.24968122,.062340714
-.16,.19005282,.039999999,.19567405,.038288333
.30000001,.25980613,.07,.26552579,.07050395
.36000001,.26477602,.07,.26999375,.072896622
.1,.25626823,.07,.2633751,.069366448
.56999999,.23103084,.050000001,.23343405,.054491453
.1,.29535449,.090000004,.2633751,.069366448
.47999999,.32110459,.1,.29048485,.084381446
.13,.2502833,.059999999,.25722992,.066167228
-.029999999,.3333492,.11,.34170496,.11676227
.33000001,.25787926,.07,.2633751,.069366448
.41,.18223542,.029999999,.18698668,.034964018
.79000002,.2680468,.07,.26552579,.07050395
.050000001,.23946407,.059999999,.23198237,.053815819
.50999999,.22676636,.050000001,.21765751,.047374789
.83999997,.36340806,.13,.35675696,.12727553
-.059999999,.2157649,.050000001,.22254513,.049526338
.38,.1776565,.029999999,.18272853,.033389714
.69,.30037394,.090000004,.29949328,.089696229
.80000001,.36739966,.13,.36224025,.131218
.050000001,.2295292,.050000001,.23642348,.055896059
.97000003,.35239065,.12,.34170496,.11676227
.92000002,.32860187,.11,.32040462,.10265912
.94,.31772164,.1,.30941197,.095735766
1.28,.37670377,.14,.35151809,.12356497
.98000002,.44493073,.2,.42676374,.1821273
.54000002,.25979719,.07,.24277431,.058939368
.82999998,.20345761,.039999999,.20190705,.040766459
0,.19901745,.039999999,.33710045,.11363671
.55000001,.32254186,.1,.32434192,.10519769
1.3,.24500397,.059999999,.22916065,.052514601
.72000003,.26656562,.07,.26552579,.07050395
