"d","sed","v","fsed","fv"
0.34,0.244262799,0.06,0.249681227607037,0.0623407154193571
-0.16,0.190052817,0.04,0.195674042420412,0.0382883308771452
0.3,0.259806125,0.07,0.265525797166596,0.0705039489609562
0.36,0.26477603,0.07,0.269993742262816,0.0728966208610801
0.1,0.256268222,0.07,0.263375111210531,0.0693664492051596
0.57,0.231030836,0.05,0.233434042929879,0.0544914523985886
0.1,0.29535448,0.09,0.263375111210531,0.0693664492051596
0.48,0.321104577,0.1,0.290484846389058,0.0843814459816748
0.13,0.250283291,0.06,0.257229918831348,0.0661672311419817
-0.03,0.333349204,0.11,0.341704949281323,0.116762272363352
0.33,0.257879253,0.07,0.263375111210531,0.0693664492051596
0.41,0.182235418,0.03,0.186986677510546,0.034964017566433
0.79,0.268046793,0.07,0.265525797166596,0.0705039489609562
0.05,0.23946407,0.06,0.231982369227155,0.053815819632244
0.51,0.226766365,0.05,0.2176574998932,0.0473747872597586
0.84,0.363408046,0.13,0.356756958841839,0.127275527682078
-0.06,0.21576489,0.05,0.222545135164648,0.0495263371854514
0.38,0.177656498,0.03,0.182728521973871,0.0333897127427553
0.69,0.300373955,0.09,0.299493292203208,0.089696232074716
0.8,0.367399657,0.13,0.362240249594934,0.1312179984266
0.05,0.229529205,0.05,0.236423470408925,0.0558960573601998
0.97,0.352390645,0.12,0.341704949281323,0.116762272363352
0.92,0.328601857,0.11,0.320404626971229,0.102659124984572
0.94,0.317721624,0.1,0.309411961187507,0.0957357617258991
1.28,0.376703776,0.14,0.351518089123947,0.123564966981351
0.98,0.444930728,0.2,0.426763745604507,0.182127294562388
0.54,0.259797177,0.07,0.242774315178434,0.0589393681103574
0.83,0.203457609,0.04,0.201907046298862,0.0407664553451307
0,0.199017456,0.04,0.337100444928953,0.113636709971298
0.55,0.32254186,0.1,0.32434193609947,0.105197691512753
1.3,0.245003972,0.06,0.229160644463956,0.0525146009711358
0.72,0.26656561,0.07,0.265525797166596,0.0705039489609562
