d,v,z,,p,sed,n_treat,n_contol,n
0.34,0.06,1.3843783,,0.1662,0.244262799,34,34,68
-0.16,0.04,-0.85829175,,0.3907,0.190052817,51,61,112
0.30,0.07,1.1611551,,0.2456,0.259806125,29,31,60
0.36,0.07,1.3739173,,0.1695,0.26477603,29,29,58
0.10,0.07,0.39030296,,0.6963,0.256268222,30,31,61
0.57,0.05,2.4734166,,0.0134,0.231030836,39,39,78
0.10,0.09,0.34530136,,0.7299,0.29535448,30,31,61
0.48,0.10,1.4889953,,0.1365,0.321104577,31,19,50
0.13,0.06,0.53814238,,0.5905,0.250283291,32,32,64
-0.03,0.11,-0.08279869,,0.934,0.333349204,18,18,36
0.33,0.07,1.2922856,,0.1963,0.257879253,30,31,61
0.41,0.03,2.2278874,,0.0259,0.182235418,63,60,123
0.79,0.07,2.9420238,,0.0033,0.268046793,30,30,60
0.05,0.06,0.1934213,,0.8466,0.23946407,26,53,79
0.51,0.05,2.2318125,,0.0256,0.226766365,60,30,90
0.84,0.13,2.3169549,,0.0205,0.363408046,16,17,33
-0.06,0.05,-0.25565866,,0.7982,0.21576489,42,44,86
0.38,0.03,2.1246297,,0.0336,0.177656498,64,65,129
0.69,0.09,2.3004658,,0.0214,0.300373955,23,24,47
0.80,0.13,2.17556,,0.0296,0.367399657,16,16,32
0.05,0.05,0.21217343,,0.832,0.229529205,37,39,76
0.97,0.12,2.7526269,,0.0059,0.352390645,18,18,36
0.92,0.11,2.8049142,,0.005,0.328601857,20,21,41
0.94,0.10,2.9581273,,0.0031,0.317721624,22,22,44
1.28,0.14,3.4094791,,0.0007,0.376703776,17,17,34
0.98,0.20,2.2111197,,0.027,0.444930728,10,13,23
0.54,0.07,2.0862429,,0.037,0.259797177,50,22,72
0.83,0.04,4.089304,,0.0001,0.203457609,53,52,105
0.00,0.04,0.023095032,,0.9816,0.199017456,15,22,37
0.55,0.10,1.705515,,0.0881,0.32254186,19,21,40
1.30,0.06,5.3119445,,0.0001,0.245003972,43,38,81
0.72,0.07,2.6998985,,0.0069,0.26656561,29,31,60
