d,sed,v,fsed,fv
.542,.27399999,.075075999,.26907906,.072403543
.55900002,.30599999,.093635999,.29582861,.087514572
.419,.20100001,.040401001,.21267618,.045231156
.65100002,.26199999,.068644002,.25786915,.066496506
.47400001,.20100001,.040401001,.21267618,.045231156
.51999998,.259,.067080997,.25786915,.066496506
.69599998,.31999999,.1024,.30508718,.093078181
.597,.28200001,.079524003,.27772138,.07712917
.616,.28799999,.082943998,.28005558,.078431129
.71100003,.31999999,.1024,.30508718,.093078181
.435,.29100001,.084680997,.34591889,.11965987
.58600003,.27399999,.075075999,.26907906,.072403543
.63999999,.28299999,.080089003,.27546009,.07587827
.54100001,.23899999,.057121001,.24137093,.058259923
.54000002,.182,.033124,.1976293,.039057344
.40000001,.237,.056169,.24137093,.058259923
.56300002,.241,.058081001,.24269679,.058901735
.447,.227,.051529001,.23286913,.054228034
.56099999,.226,.051075999,.23066352,.053205661
.63700002,.214,.045795999,.22085148,.048775379
1.013,.331,.109561,.30508718,.093078181
.63599998,.28299999,.080089003,.27546009,.07587827
.57099998,.25600001,.065536,.2545222,.064781554
.414,.204,.041616,.214983,.046217691
.625,.26100001,.068121001,.25786915,.066496506
