d,sed,v,fsed,fv
-.13285027,.1968464,.038748503,.14259319,.020332817
-.16172695,.14254472,.020318996,.13136046,.017255569
-.12566695,.11162195,.012459459,.1230775,.015148073
.052161388,.11140055,.012410083,.12033291,.01448001
.093287222,.080971114,.0065563209,.11229745,.012610719
.38326666,.15739723,.024773886,.17575775,.030890785
-.11111111,.23972222,.057466745,.23196271,.053806696
.074367225,.20213306,.040857773,.17634282,.03109679
.018215001,.18300833,.033492047,.16706191,.027909681
.15166667,.1127825,.012719893,.15154479,.022965826
.49603167,.39052111,.15250674,.23589326,.05564563
.20212555,.11563028,.013370361,.24942583,.062213242
.24926889,.11173333,.012484337,.2602765,.06774386
.10768667,.15649667,.02449121,.13039798,.017003633
.61834085,.1530575,.023426598,.13145994,.017281717
.97692055,.15226333,.023184121,.13116328,.017203806
.88426334,.13112278,.017193183,.12296761,.015121032
.5426228,.080374166,.0064600068,.11340743,.012861244
-.082304448,.11578417,.013405974,.16751614,.02806166
-.24722221,.13915649,.019364528,.14036696,.019702882
.27964333,.14675805,.021537926,.13653843,.018642742
-.080994166,.13558055,.018382087,.15584084,.024286371
-.037824724,.10818361,.011703693,.1309685,.017152745
.17603639,.16780777,.028159449,.17575775,.030890785
.61728394,.61728394,.38103947,.6143766,.3774586
.01754386,.2028511,.041148569,.15810367,.024996774
.12635,.076891392,.0059122862,.11365527,.01291752
.23840973,.14751361,.021760266,.14188278,.020130724
.20768729,.07273639,.0052905818,.11057314,.012226418
-.059013203,.082416251,.0067924391,.1133266,.012842918
.063575275,.11797139,.013917249,.15234989,.02321049
.27316001,.15498139,.024019232,.12905669,.01665563
.043334443,.076219164,.0058093611,.1114778,.0124273
.31477472,.15336111,.023519631,.23589326,.05564563
-.056306388,.085670002,.007339349,.11395498,.012985736
.039604168,.17416194,.030332381,.15615313,.024383798
-.027615277,.10153972,.010310316,.1154639,.013331912
.021454444,.19736612,.038953386,.15234989,.02321049
-.083499163,.14662223,.021498077,.13259612,.017581729
.34845084,.15557,.024202025,.14205818,.020180525
.043015298,.063966691,.0040917378,.10764711,.0115879
-.1495343,.10603049,.011242464,.11949591,.014279272
.3037211,.14602751,.021324033,.17754164,.031521033
-.028574722,.078467779,.0061571919,.10767034,.011592901
.17089416,.10362222,.010737564,.13166077,.01733456
.096659169,.14794278,.021887066,.15678839,.0245826
-.035526842,.21310256,.045412704,.16891767,.028533181
-.21708117,.23416716,.054834258,.18417923,.033921991
.18626744,.20994937,.044078741,.16797677,.028216192
-.10227271,.20837423,.043419819,.17518193,.030688705
-.16493611,.12084445,.01460338,.14951465,.022354631
