d,sed,v,fsed,fv
1.1952,.31476569,.099077433,.28850928,.083237603
1.84,.23059504,.053174075,.20813154,.043318734
.31259999,.16019443,.025662253,.17517471,.030686181
.5693,.17055285,.029088274,.18202347,.033132542
1.9406,.25315821,.064089082,.22086494,.04878132
-1.3665,.17760101,.031542119,.15901044,.02528432
-1.7677,.38259438,.14637846,.34183842,.1168535
-.46239999,.32461175,.10537278,.33755657,.11394443
.61390001,.12600061,.015876153,.11829027,.013992587
.32539999,.214607,.046056166,.22889125,.052391209
.39390001,.24855883,.061781496,.26214814,.068721652
-1.628,.15946297,.02542844,.15344653,.023545835
-1.5233001,.17864372,.031913579,.173241,.030012446
.79909998,.16381837,.026836459,.17371741,.03017774
.54540002,.1874605,.035141435,.17617039,.031036006
.37670001,.18592343,.034567524,.17567009,.030859979
1.5286,.32664892,.10669951,.29937372,.089624621
.2014,.31778115,.10098486,.32947233,.10855201
.76599997,.29325035,.085995764,.29937372,.089624621
.2816,.29010233,.084159359,.30531514,.093217328
.92140001,.15591785,.024310378,.16458428,.027087986
.65369999,.32456362,.10534155,.33343789,.11118082
-.3565,.31872976,.10158865,.33343789,.11118082
.229,.19843435,.039376192,.20993313,.04407192
.71679997,.25020289,.062601484,.25845778,.066800423
.3897,.35689342,.12737291,.37165314,.13812605
.6085,.26410654,.069752268,.27432433,.075253837
1.4482,.2900759,.084144026,.27432433,.075253837
.1401,.25851545,.066830233,.27432433,.075253837
.1374,.25850338,.066823989,.27432433,.075253837
.1998,.33416396,.11166555,.35093656,.12315647
.34099999,.31851768,.10145351,.33343789,.11118082
1.6609,.27147606,.073699251,.24991582,.062457919
.46450001,.1338201,.017907819,.14880987,.022144377
-.68019998,.20886935,.043626405,.21873641,.047845617
.5636,.20707206,.04287884,.21873641,.047845617
.72659999,.21413583,.045854155,.22306335,.049757261
1.7006,.30127564,.090767004,.27432433,.075253837
1.3156,.20480019,.041943118,.20140931,.040565711
.93790001,.087643392,.0076813642,.10414352,.010845872
.74839997,.20793501,.043236963,.21667422,.046947721
.4765,.22675775,.051419076,.23935401,.057290342
.48199999,.22683039,.051452026,.23935401,.057290342
1.332,.3495394,.1221778,.33343789,.11118082
1.3205,.13509467,.01825057,.12680686,.016079977
.1552,.2585873,.066867389,.27432433,.075253837
.89499998,.27081704,.073341876,.27432433,.075253837
.2411,.10569608,.011171662,.11127269,.01238161
.24699999,.039647944,.00157196,.071278743,.0050806589
-.64289999,.41866156,.1752775,.42782566,.18303479
-.64289999,.41866156,.1752775,.42782566,.18303479
-.54479998,.46726549,.21833703,.47990325,.23030713
-.54479998,.46726549,.21833703,.47990325,.23030713
.1979,.37888852,.14355651,.39670223,.15737265
1.1648,.22540927,.050809339,.20140931,.040565711
.69459999,.19553941,.038235664,.23796014,.056625027
.87840003,.26048598,.067852944,.24674489,.060883038
.83490002,.32634559,.10650145,.31164473,.097122431
.98729998,.32423428,.10512786,.30842879,.095128328
1.5174,.24108243,.058120739,.18316217,.033548381
-.26179999,.16133055,.026027545,.17667569,.031214302
.1144,.24456586,.05981246,.26028195,.067746699
.075400002,.18741253,.035123456,.20302153,.041217741
0,.25,.0625,.26601309,.070762955
-.76190001,.25694036,.06601835,.26405796,.069726601
2.7780001,.37133881,.13789251,.28113273,.079035617
1.7323999,.22888899,.052390169,.21085368,.044459276
1.2852,.28130099,.07913024,.27216887,.074075893
1.2412,.24418969,.05962861,.23935401,.057290342
2.7780001,.32810462,.10765263,.24991582,.062457919
2.7780001,.42261744,.1786055,.31840625,.10138255
1.1818,.32706016,.10696834,.31840625,.10138255
1.5441999,.39181647,.15352014,.35093656,.12315647
.50220001,.1098391,.012064627,.16915017,.028611783
.93000001,.17190017,.029549666,.24674489,.060883038
-.47139999,.16780429,.028158281,.24991582,.062457919
.27939999,.20826098,.043372635,.18202347,.033132542
-.0142,.086630709,.00750488,.10718438,.011488491
.68290001,.0689665,.004756378,.09079621,.0082439519
.17389999,.12520984,.015677502,.13553391,.018369442
-.81739998,.28985485,.084015846,.29110819,.084743977
.95859998,.24386248,.05946891,.24674489,.060883038
.34720001,.22252087,.049515534,.23659234,.055975936
.1608,.16693579,.027867557,.18258975,.033339016
.62639999,.25259066,.063802049,.26214814,.068721652
-.41429999,.14749505,.02175479,.16227132,.026331982
.1962,.24157764,.058359753,.25667405,.065881573
.47600001,.2460497,.06054046,.25845778,.066800423
.0153,.19439848,.037790764,.20993313,.04407192
-.20460001,.18756056,.035178963,.20221001,.040888891
.74190003,.20179127,.040719721,.21085368,.044459276
1.3097,.22379303,.050083321,.21873641,.047845617
.79329997,.17811643,.031725459,.18735032,.035100143
.90869999,.13762145,.018939663,.14799674,.021903032
.5176,.2245308,.050414085,.23659234,.055975936
.5183,.18979853,.036023486,.18797596,.03533496
.303,.13263065,.01759089,.14880987,.022144377
.34290001,.15290001,.023378411,.15971468,.025508778
.44350001,.17893666,.03201833,.19256535,.037081413
.2323,.1773719,.031460796,.19256535,.037081413
