effect,se,n,study_id
0.08,0.244948974,64,1
0.27,0.2,91,2
-0.05,0.1,567,2
-0.08,0.223606798,86,2
0.07,0.223606798,86,2
0.05,0.331662479,38,2
0.49,0.282842712,49,2
0.03,0.3,47,2
0.3,0.244948974,64,2
0.54,0.244948974,65,3
-0.11,0.264575131,57,3
0.12,0.282842712,53,3
0.61,0.316227766,50,3
0.48,0.316227766,49,4
0.63,0.3,48,5
0.22,0.282842712,51,5
0.86,0.264575131,94,5
0.24,0.173205081,133,5
-0.19,0.244948974,65,5
0.04,0.264575131,61,5
-0.34,0.264575131,61,5
-0.25,0.223606798,83,5
-0.67,0.282842712,57,5
-0.17,0.331662479,38,5
0.66,0.360555128,35,6
0.17,0.3,44,7
0.47,0.316227766,42,7
-0.7,0.282842712,56,7
0.41,0.2,97,7
0.58,0.316227766,43,7
-0.15,0.1,348,7
0.04,0.282842712,49,7
0.4,0.223606798,77,7
0.54,0.223606798,86,7
0.66,0.282842712,51,7
1.26,0.3,54,7
0.6,0.244948974,74,7
0.44,0.2,116,7
0.54,0.264575131,60,7
0.35,0.2,100,7
0.23,0.1,367,8
0.3,0.141421356,192,9
0.33,0.282842712,51,9
0.58,0.331662479,39,9
0.0,0.244948974,65,9
0.79,0.264575131,65,10
0.59,0.3,48,10
0.84,0.331662479,40,10
0.53,0.282842712,50,10
0.57,0.244948974,70,10
0.36,0.2,92,11
0.44,0.223606798,84,11
0.35,0.316227766,40,11
0.16,0.282842712,50,12
0.25,0.173205081,157,12
0.42,0.244948974,68,13
0.98,0.244948974,76,14
0.62,0.2,108,14
0.6,0.223606798,94,15
0.56,0.244948974,80,16
0.39,0.223606798,80,16
0.46,0.244948974,80,16
0.56,0.244948974,66,17
-0.29,0.360555128,32,18
-0.04,0.2,92,19
-0.02,0.3,43,20
0.01,0.244948974,64,20
0.73,0.316227766,44,20
0.55,0.2,94,21
0.86,0.387298335,30,22
0.29,0.223606798,76,22
0.53,0.223606798,81,22
-0.04,0.316227766,40,22
0.83,0.331662479,40,22
0.6,0.223606798,88,23
-0.24,0.223606798,88,23
0.48,0.244948974,70,23
0.26,0.173205081,140,24
0.71,0.2,110,25
0.91,0.458257569,21,25
0.89,0.479583152,19,25
0.6,0.374165739,29,26
1.1,0.509901951,18,26
0.57,0.360555128,31,26
-0.42,0.264575131,62,26
0.0,0.1,278,26
0.38,0.223606798,84,26
0.44,0.264575131,62,26
-0.3,0.223606798,76,27
0.41,0.244948974,66,27
0.29,0.244948974,68,27
