effect,se,n,study_id
2.31006267,0.06751074,1178,Hauser et al (2007)
0.38592932,0.04641364,575,Hauser et al (2007)
1.75873506,0.64838443,11,Pellizzoni et al (2010)
-0.2095044,0.21659697,18,Moore et al (2008)
0.0,0.26723002,11,May (unpublished)
2.8338239,0.69901748,18,Mikhail (2002)
0.91520383,0.31786308,34,Nichols & Mallon (2006)
1.92964662,0.60478374,26,Nichols & Mallon (2006)
0.42452226,0.36005729,8,Zimmerman (2013)
1.98477938,0.48242052,23,Mikhail (2011)
1.7036023,0.55415068,12,Mikhail (2011)
0.31977001,0.12798912,83,Mikhail (2011)
0.15988501,0.21659697,19,May (unpublished)
0.70018606,0.19831281,32,May (unpublished)
0.50170812,0.23488113,20,May (unpublished)
1.20740746,0.06329132,560,Ahlenius & Taennsjoe (2012)
0.85455779,0.09985964,188,Cote et al (2013)
1.12470832,0.25175881,33,Lanteri et al (2008)
0.88212417,0.13080206,188,Lotto et al (2014)
1.07508883,0.53586652,10,Koenigs et al (2007)
1.51063764,0.13924091,276,Rusch (2015)
0.9207171,0.28692066,22,Sario et al (2012)
1.59885006,0.10407906,295,Costa et al (2014)
1.02546935,0.17440275,67,Fumagali et al (2010)
0.2756638,0.3220825,13,Koengis et al (2012)
1.03098262,0.29957892,22,Manfriniti (2013)
0.12680535,0.26582355,21,Moore et al (2011a)
0.28669036,0.25316529,28,Moore et al (2011a)
0.34733639,0.18002865,47,Moore et al (2011b)
0.41900898,0.21940991,39,Nakamura (unpublished)
