effect,se,n,study_id
0.25,0.12576277,265,Critcher & Gilovich (2008) 1
0.3,0.143482822,207,Critcher & Gilovich (2008) 2 
0.32,0.14869198,194,Critcher & Gilovich (2008) 3 
0.53,0.293155846,57,Dogerlioglu-Demir & Koças (2014) 1a 
0.07,0.27554209,57,Dogerlioglu-Demir & Koças (2014) 1b 
0.94,0.502120127,27,Dogerlioglu-Demir & Koças (2014) 1c 
-0.74,0.416381001,27,Dogerlioglu-Demir & Koças (2014) 1d 
-0.44,0.316165105,43,Dogerlioglu-Demir & Koças (2014) 1e
-0.19,0.316065048,43,Dogerlioglu-Demir & Koças (2014) 1f 
0.62,0.120934245,314,Dogerlioglu-Demir & Koças (2014) 2 
0.63,0.303240182,56,Englich (2008) 
0.76,0.34431155,47,Lee (2010) 1a 
0.57,0.330887638,47,Lee (2010) 1b Immediate Low Similar 0.57 47
0.69,0.38978366,37,Mussweiler & Englich (2005) 1
0.61,0.355799405,42,Mussweiler & Englich (2005) 2
-0.52,0.267808159,60,Nunes & Boatwright (2004) 1 
0.28,0.270455754,62,Reitsma-van Rooijen & Damen (2006)
0.28,0.153457699,181,Wong & Kwong (2000) 1 
0.37,0.174014134,145,Yan & Duclos (2013) 1
0.34,0.175267939,142,Yan & Duclos (2013) 3 
0.52,0.205750023,110,Yan & Duclos (2013) 5b 
