effect,se,n,study_id
0.34,0.244262799,68,1
-0.16,0.190052817,112,1
0.3,0.259806125,60,1
0.36,0.26477603,58,1
0.1,0.256268222,61,2
0.57,0.231030836,78,3
0.1,0.29535448,61,3
0.48,0.321104577,50,3
0.13,0.250283291,64,4
-0.03,0.333349204,36,5
0.33,0.257879253,61,6
0.41,0.182235418,123,6
0.79,0.268046793,60,7
0.05,0.23946407,79,7
0.51,0.226766365,90,7
0.84,0.363408046,33,8
-0.06,0.21576489,86,9
0.38,0.177656498,129,9
0.69,0.300373955,47,10
0.8,0.367399657,32,11
0.05,0.229529205,76,11
0.97,0.352390645,36,11
0.92,0.328601857,41,11
0.94,0.317721624,44,11
1.28,0.376703776,34,11
0.98,0.444930728,23,12
0.54,0.259797177,72,13
0.83,0.203457609,105,13
0.0,0.199017456,37,13
0.55,0.32254186,40,13
1.3,0.245003972,81,13
0.72,0.26656561,60,13
